"wkreis_nr";"partei";"titel";"nname";"vname";"geb_jahr";"ges";"beruf";"wohnort";"listenplatz";"alter";"alter_kat";"name";"wkreis_2017_bez";"erststimm_perc";"MdL_2017";"stimme";"wahl"
"102";"GRÜNE";NA;"Lücking";"Uta";"1971";"w";"Lehrerin";"Nieheim";"55";"51";"45-54 J.";"Uta Lücking";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"22";"GRÜNE";NA;"Langenbucher";"Jürgen";"1965";"m";"Dipl.- Sozialpädagoge";"Leichlingen";"56";"57";"55-64 J.";"Jürgen Langenbucher";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"9";"GRÜNE";"Dr.";"Grübener";"Sabrina";"1982";"w";"Wissenschaftliche Mitarbeiterin";"Heinsberg";"57";"40";"35-44 J.";"Sabrina Grübener";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"87";"GRÜNE";NA;"Bas";"Ali";"1976";"m";"Lehrer";"Ahlen";"58";"46";"45-54 J.";"Ali Bas";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"124";"GRÜNE";NA;"Sönnecken";"Helle";"1986";"w";"Vertriebsassistentin";"Sundern";"59";"36";"35-44 J.";"Helle Sönnecken";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"26";"GRÜNE";"Dr.";"Gür-Seker";"Derya";"1981";"w";"Wissenschaftliche Mitarbeiterin";"Düsseldorf";"60";"41";"35-44 J.";"Derya Gür-Seker";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"67";"GRÜNE";NA;"Sponheuer";"Inga Marie";"1983";"w";"Kulturvermittlerin- und managerin";"Essen";"61";"39";"35-44 J.";"Inga Marie Sponheuer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"52";"GRÜNE";NA;"Muschiol";"Paul";"1970";"m";"Bankkaufmann";"Willich";"62";"52";"45-54 J.";"Paul Muschiol";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"94";"GRÜNE";NA;"Mamerow";"Romy";"1967";"w";"Leiterin Marketing/PR";"Bielefeld";"63";"55";"55-64 J.";"Romy Mamerow";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"101";"GRÜNE";NA;"Möhl";"Ulrich";"1975";"m";"Dipl.-Sozialarbeiter";"Paderborn";"64";"47";"45-54 J.";"Ulrich Möhl";NA;NA;"Nein";NA;"nicht
ge-
wählt"
NA;"GRÜNE";NA;"Pflogsch";"Teresa";"1998";"w";"Studentin";"Siegen";"65";"24";"15-24 J.";"Teresa Pflogsch";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"103";"GRÜNE";NA;"Gerull";"Alexandra";"1972";"w";"Dozentin Erwachsenenbildung";"Hagen";"66";"50";"45-54 J.";"Alexandra Gerull";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"54";"GRÜNE";NA;"Backhaus";"Paula";"1981";"w";"Computer-Animateurin";"Uedem";"67";"41";"35-44 J.";"Paula Backhaus";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"114";"GRÜNE";NA;"Brunner";"Jenny";"1990";"w";"Referentin für Öffentlichkeitsarbeit";"Dortmund";"68";"32";"25-34 J.";"Jenny Brunner";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"85";"GRÜNE";NA;"Deppermann";"Dorothea";"1983";"w";"Beamtin";"Münster";"69";"39";"35-44 J.";"Dorothea Deppermann";NA;NA;"Nein";NA;"Direkt"
"118";"GRÜNE";NA;"Soumaoro";"Nelli Foumba";"1990";"m";"Wirtschafts- und Politikberater";"Hamm";"70";"32";"25-34 J.";"Nelli Foumba Soumaoro";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"37";"GRÜNE";NA;"Serag";"Siedi";"1984";"w";"Außenhandelskauffrau";"Langenfeld";"71";"38";"35-44 J.";"Siedi Serag";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"62";"GRÜNE";NA;"Galuszka";"Kevin";"1989";"m";"Gesundheits- und Krankenpfleger";"Duisburg";"72";"33";"25-34 J.";"Kevin Galuszka";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"44";"GRÜNE";NA;"El Makrini";"Yousra";"1993";"w";"Apothekerin";"Düsseldorf";"73";"29";"25-34 J.";"Yousra El Makrini";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"46";"GRÜNE";NA;"Schimanski";"Dirk";"1971";"m";"Polizeivollzugsbeamter";"Grevenbroich";"74";"51";"45-54 J.";"Dirk Schimanski";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"71";"GRÜNE";NA;"Wischnewski";"Maya";"1999";"w";"Studentin";"Recklinghausen";"75";"23";"15-24 J.";"Maya Wischnewski";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"108";"GRÜNE";"Dr.-Ing.";"Oberberg";"Moritz";"1990";"m";"Elektroingenieur";"Bochum";"76";"32";"25-34 J.";"Moritz Oberberg";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"13";"GRÜNE";NA;"Woestmann";"Eileen";"1993";"w";"Sozialpädagogin";"Köln";"77";"29";"25-34 J.";"Eileen Woestmann";NA;NA;"Nein";NA;"Direkt"
"113";"GRÜNE";NA;"Dsicheu Djine";"Jacques Armel";"1986";"m";"Elektroingenieur";"Dortmund";"78";"36";"35-44 J.";"Jacques Armel Dsicheu Djine";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"82";"GRÜNE";NA;"Wellmeier";"Silke";"1977";"w";"Keramikerin";"Tecklenburg";"79";"45";"45-54 J.";"Silke Wellmeier";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"19";"GRÜNE";NA;"Schlömer";"Leon";"1997";"m";"Student der Rechtswissenschaften";"Köln";"80";"25";"25-34 J.";"Leon Schlömer";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"1";"GRÜNE";NA;"Vogelheim";"Astrid";"1970";"w";"Bauingenieurin";"Aachen";"81";"52";"45-54 J.";"Astrid Vogelheim";NA;NA;"Nein";NA;"Direkt"
NA;"GRÜNE";NA;"Tucker";"Dean";"1988";"m";"Fliesenleger";"Münster";"82";"34";"25-34 J.";"Dean Tucker";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"16";"GRÜNE";NA;"Scholz";"Friederike";"1973";"w";"Juristin";"Köln";"83";"49";"45-54 J.";"Friederike Scholz";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"57";"GRÜNE";NA;"Graf";"Niklas";"1990";"m";"Berater";"Dinslaken";"84";"32";"25-34 J.";"Niklas Graf";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"104";"GRÜNE";NA;"Backhoff";"Petra";"1969";"w";"Sozialarbeiterin";"Ennepetal";"85";"53";"45-54 J.";"Petra Backhoff";NA;NA;"Nein";NA;"nicht
ge-
wählt"
NA;"GRÜNE";NA;"Nagel";"Thomas";"1983";"m";"Richter";"Leverkusen";"86";"39";"35-44 J.";"Thomas Nagel";NA;NA;"Nein";NA;"nicht
ge-
wählt"
NA;"GRÜNE";NA;"Neumann";"Heidi";"1964";"w";"Erzieherin";"Burscheid";"87";"58";"55-64 J.";"Heidi Neumann";NA;NA;"Nein";NA;"nicht
ge-
wählt"
NA;"GRÜNE";"Dr.";"Rutte";"Daniel";"1986";"m";"Geowissenschaftler";"Bonn";"88";"36";"35-44 J.";"Daniel Rutte";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"91";"GRÜNE";NA;"Haack";"Andrea";"1967";"w";"Kauffrau";"Rödinghausen";"89";"55";"55-64 J.";"Andrea Haack";NA;NA;"Nein";NA;"nicht
ge-
wählt"
NA;"GRÜNE";NA;"Beu";"Rolf";"1957";"m";"Mobilitätsberater";"Bonn";"90";"65";"65-74 J.";"Rolf Beu";NA;NA;"Nein";NA;"nicht
ge-
wählt"
"65";"SPD";NA;"Kutschaty";"Thomas";"1968";"m";"Rechtsanwalt - zurzeit Mitglied des Landtages";"Essen";"1";"54";"45-54 J.";"Thomas Kutschaty";"Essen I – Mülheim II";"45,4";"Ja";"erststimme";"Direkt"
"61";"SPD";NA;"Philipp";"Sarah";"1983";"w";"Projektmanagerin";"Duisburg";"2";"39";"35-44 J.";"Sarah Philipp";"Duisburg I";"40,1";"Ja";"erststimme";"Direkt"
"79";"SPD";NA;"Stinka";"André";"1965";"m";"Mitglied des Landtages";"Dülmen";"3";"57";"55-64 J.";"André Stinka";NA;NA;"Ja";"zweitstimme";"Liste"
"122";"SPD";NA;"Blask";"Inge";"1959";"w";"Mitglied des Landtages";"Hemer";"4";"63";"55-64 J.";"Inge Blask";NA;NA;"Ja";"zweitstimme";"Liste"
"15";"SPD";NA;"Ott";"Jochen";"1974";"m";"Oberstudienrat a.D.";"Köln";"5";"48";"45-54 J.";"Jochen Ott";NA;NA;"Ja";"zweitstimme";"Liste"
"97";"SPD";NA;"Stock";"Ellen";"1966";"w";"Bekleidungstechnikerin/Schnittmacherin, Mitglied des Landtages";"Lage";"6";"56";"55-64 J.";"Ellen Stock";"Lippe I";"35,6";"Ja";"erststimme";"Liste"
